outer_code,rs,pval,npts
CV47,0.9411872438847766,4.408543168164733e-46,96
RM10,0.7143661415062945,3.033779526268082e-16,96
RM8,0.041468700096127804,0.688303199713963,96
W4,0.9240619662100191,4.871180331949547e-41,96
DL16,0.8169060894144069,3.420752306738237e-24,96
HD1,0.6593345480808142,2.790820722196185e-13,96
LE8,0.966968495146896,1.338461516309781e-57,96
LE65,0.8990453583318739,1.7557774418745102e-35,96
SY10,0.4194204099069932,2.1046461083133488e-05,96
CR9,-0.2399784886676269,0.02121701548443165,92
NW3,0.940022246725752,1.0788069139439213e-45,96
CT15,0.36965263880315685,0.0005832289490759107,83
BS10,0.6675777967133083,1.1008747802362614e-13,96
TA3,0.7679493748299305,6.906626651658365e-20,96
PL10,0.7386187141040291,2.916904610685088e-13,70
EX13,0.9350163122454885,4.1565773046908925e-44,96
LA12,0.8871562362465748,2.479819016329488e-33,96
YO43,0.9341974526403866,7.346326842702346e-44,96
S5,0.9796254722517254,2.4518200355548606e-67,96
WF2,0.9681526071760606,2.4729199291651958e-58,96
B94,0.5610356705004297,2.757100870103049e-09,96
NG5,0.9708995338402959,3.795773932847926e-60,96
PE16,0.7358878385710409,1.3342322567649057e-17,96
IP11,-0.03406890424973012,0.7417560907287879,96
PE29,0.1290552320134979,0.21014682845425794,96
HP3,0.10570296830364334,0.30537197799474763,96
BR7,0.9242837389482274,4.2676250629192457e-41,96
TA24,0.9074599743614943,3.583657195316737e-37,96
TN11,0.9339334079598578,8.813445892123132e-44,96
BN23,-0.6770506319301426,3.642466666628809e-14,96
HP21,0.6865078278269007,1.601023294494339e-14,95
PO15,0.02515625159094775,0.807781023950987,96
DT2,0.9399775499218292,1.116090255971856e-45,96
OL1,0.8724289608670455,5.565219019866059e-31,96
M33,0.9860755030139864,4.826364001474319e-75,96
SY1,0.9325940250216584,2.1942582687167205e-43,96
E9,0.7913546595838278,8.412640875311195e-22,96
TW14,0.8004788713665606,1.2914735274171845e-22,96
HP16,0.8672450580849779,3.1948119244030355e-30,96
L24,0.9066904520714116,5.193778037145658e-37,96
PE5,0.1569744307571965,0.12666970868596045,96
SE25,0.8661267787934523,4.613005593778431e-30,96
EX11,0.8779076676996135,8.062688762071313e-32,96
RG30,0.8431397819118261,4.537758974780292e-27,96
SN7,0.924132411985016,4.670946525326934e-41,96
GU34,0.9480995147144841,1.4509082910194253e-48,96
YO24,-0.5046697912695136,1.5799162787593162e-07,96
DN5,0.9403916915298483,8.138496851468158e-46,96
HR8,0.9025913030578433,3.556632893323572e-36,96
B71,0.8782057828540294,7.238949385740719e-32,96
CB24,0.6954410268379779,3.767884141898365e-15,96
CB5,0.001987808638575616,0.9846645249837308,96
MK45,0.9665383638523863,2.4345288701940367e-57,96
WD3,0.7902101222935689,1.0572052117876872e-21,96
LE13,0.9094189384466371,1.3728772967100489e-37,96
RH1,0.9522985933946333,3.0312634667239513e-50,96
SL3,0.5540279319559854,4.753669871945327e-09,96
TS1,0.9396356435433618,1.4460992180532692e-45,96
CH42,0.9822331497808824,4.166820676972901e-70,96
LN12,0.8724433911293621,5.537625122400749e-31,96
LN10,0.5031576713489535,1.7439648299136598e-07,96
B19,0.8197375119171153,1.763306369166942e-24,96
SY3,0.9701972384807219,1.145753962183684e-59,96
CO2,0.2868673167008412,0.004601093709477416,96
MK44,0.7875669827518051,1.7822551947430156e-21,96
WD7,0.751066679235621,1.2196681769190888e-18,96
RM9,0.7942768390562559,4.663957901300119e-22,96
E8,0.9074525642114896,3.5965411585606684e-37,96
SN4,0.9575753877086608,1.3849979139991668e-52,96
GL1,0.5273999316445381,3.373016262059258e-08,96
GL19,0.9419114653789226,2.504208496248387e-46,96
PL35,0.9374077971386185,7.542417418680233e-45,96
NE42,0.862592147671507,1.4419524008126922e-29,96
WA4,0.9473059500488455,2.906807267124671e-48,96
CA13,0.858495559188453,5.195989594437198e-29,96
PR2,0.9610040797168496,2.8543854550903564e-54,96
LS9,0.9373467581883446,7.884800250093679e-45,96
LS5,0.2070319795149951,0.04298017487192169,96
DN10,0.9681016300490914,2.6628714203657185e-58,96
NN10,0.9718116892615907,8.675490727721257e-61,96
SY8,0.4448303245332346,5.606365959964072e-06,96
B69,0.9545362058913286,3.336800246831905e-51,96
B8,0.7021467091228689,1.5784408432975833e-15,96
NR19,0.9584606463529768,5.2462930079077185e-53,96
SG15,-0.7707254513973589,4.2083719472273857e-20,96
ME6,0.9215857840956009,2.0770725351025355e-40,96
SL0,0.9607035199232771,4.066652879840727e-54,96
OX1,0.9212378127649075,2.5368475336414446e-40,96
DL3,0.9513393629306024,7.558059123481033e-50,96
LA16,0.7389682328463979,8.321598289841818e-18,96
PE7,0.8253858443078157,4.538121075960421e-25,96
IP24,0.8741585307475612,3.0539389834390443e-31,96
NR18,0.8700105136077741,1.269440721183255e-30,96
CM7,0.9546085004412612,3.1014814697725207e-51,96
CM16,0.683243125986979,1.728411734566655e-14,96
GL14,0.5767820751908094,7.732791700354868e-10,96
TN18,0.8945986862159081,1.1982409481434852e-34,96
DH6,0.6130602147894839,3.150034574592556e-11,96
CV37,0.970638505766266,5.740989429981738e-60,96
CM0,0.9336656837193278,1.0592292144739238e-43,96
BR6,0.9386829085154992,2.952877081078981e-45,96
IG4,-0.700398159706844,1.985024839784633e-15,96
ME19,0.8830844678564188,1.1907628904722359e-32,96
SO14,0.9494324678043942,4.404752860631879e-49,96
RG28,0.38133515425259534,0.00012645310285057363,96
SP1,0.9536412164457128,8.171433079871865e-51,96
BA20,0.9485910792525794,9.382576319990668e-49,96
TA6,0.9667652408669354,1.7774691853400954e-57,96
BH14,0.9660191544291558,4.960696275726412e-57,96
WA2,0.9622480266163784,6.3998554434720776e-55,96
NG22,0.9491676025460846,5.596308005936132e-49,96
SY5,0.8884050469334354,1.5141764474876764e-33,96
ST17,0.9197007518509979,6.069732659050686e-40,96
B78,0.9480316886746858,1.540342827932224e-48,96
SE3,0.8887570072049124,1.3162371069524646e-33,96
RH8,0.9002916659114734,1.008596775803185e-35,96
BN9,0.945464288213686,1.4000397165515775e-47,96
SO23,0.9261380805428254,1.38955097331573e-41,96
SN9,0.8286459416555085,2.0274030419879307e-25,96
PR6,0.9560487265788274,7.044007214582639e-52,96
CA9,0.7053567679108425,1.0318248925924635e-15,96
NE28,0.9793167999367363,4.9358058222739904e-67,96
HU8,0.9564486050197761,4.6265074178263716e-52,96
TW8,0.4799394976358203,7.499417536231086e-07,96
EX39,0.9277083511295512,5.250065340262026e-42,96
DT11,0.9000664687001275,1.1154593662244944e-35,96
NE48,0.7445799740506618,3.460979501863962e-18,96
CA7,0.7774100125730157,1.2400519583302709e-20,96
CH66,0.9424695634001797,1.611481719531515e-46,96
PO30,0.9716624729861336,1.1081044566375688e-60,96
DT5,0.7759260411344746,1.6323890236899092e-20,96
TQ12,0.9528411943523738,1.7928335731233967e-50,96
TS8,0.5504931312382819,6.2273560113839916e-09,96
S42,0.9563810741738384,4.968265260453105e-52,96
WS13,0.5882213301494708,2.9412048587639833e-10,96
NR31,0.811062502585983,1.296191033936732e-23,96
UB3,0.3029725471507072,0.0026955072154362172,96
NW7,0.5239427668190908,4.2973780989091034e-08,96
DA8,0.6862898737595073,1.1896689809660493e-14,96
PO5,0.9419173680813798,2.492617293645709e-46,96
BH23,0.8464807122878613,1.789348431072593e-27,96
HP27,0.41560009519609237,2.5446376827769055e-05,96
GL11,0.8660630113163599,4.71018517267936e-30,96
TR17,0.8730231454836888,4.5329093003830965e-31,96
YO16,0.9403705353498927,8.27131335271744e-46,96
HU17,0.8716586975541896,7.249889129249428e-31,96
LS8,0.9774956253697129,2.499610955462404e-65,96
TF3,-0.7213378288434061,1.138622050372566e-16,96
CT12,0.8926276240206762,2.731606062627718e-34,96
CT8,0.6399321722118512,2.231861337192128e-12,96
BA3,0.9426634519888993,1.3812346099936542e-46,96
TQ3,0.9245034120006965,3.742047809908288e-41,96
HU19,0.8912816411755724,4.751385291457731e-34,96
DY8,0.9563135442879882,5.3346619075622546e-52,96
TF9,0.974239495931082,1.3303330370905848e-62,96
W12,0.24911398982061322,0.014383005113073619,96
EX32,0.8623983887017589,1.533503618879853e-29,96
GU2,0.9438132899394766,5.474256617733543e-47,96
TW19,0.8389626183288416,1.409536550063302e-26,96
RG20,0.6590473615093236,2.8812426823683195e-13,96
OX26,0.7992240807040348,1.680672822396053e-22,96
SO17,0.9410990688368857,4.720491120346287e-46,96
CW2,0.8974615513621792,3.5150075210165547e-35,96
LS6,0.8976925895100125,3.1787692250392115e-35,96
WV2,0.3853739929251385,0.00010562535811685409,96
WV11,0.9305664834266618,8.427729118748368e-43,96
SM1,0.8631290511281052,1.2152293548961359e-29,96
OX7,0.3644231621181066,0.0002620443658407083,96
CH65,0.9531932503033251,1.2708958931861936e-50,96
HG4,0.9771430897070228,5.148295509397381e-65,96
BD22,0.8195207987135543,1.8558065068418412e-24,96
BD18,0.8551710575870364,1.428135208826796e-28,96
B46,0.9773491108875488,3.379745929125767e-65,96
WV1,0.8622394651703226,1.6128051512204088e-29,96
B79,0.9492839387761224,5.038477127161308e-49,96
IG3,0.08957197948369616,0.3854641769285695,96
SW4,0.8214846496021292,1.164712703175936e-24,96
BS37,0.9533666809340027,1.0717012121862682e-50,96
KT13,0.8972166749971624,3.909269291471629e-35,96
BN7,0.9558897839441153,8.316003070998353e-52,96
WN7,0.8374017378647067,2.135115501385258e-26,96
BB18,0.6915871387841237,6.146555060027499e-15,96
NE22,0.9357398678923273,2.4974121849409433e-44,96
NR21,0.8761017843179401,1.539625164276517e-31,96
SN5,0.767365516048094,7.658370199566813e-20,96
EX10,0.9634480521292642,1.4412886204169681e-55,96
EX3,0.9500718989514648,2.4579588833239934e-49,96
BN22,0.9452072913609773,1.7358929953738645e-47,96
RG4,0.900896014050508,7.688262037827081e-36,96
BH6,0.9771662867294921,4.910964278659835e-65,96
BH21,0.9456984729056296,1.1498783784433305e-47,96
TS3,0.9084410084241901,2.2223857854799075e-37,96
S32,0.7445119934592602,3.498434779295876e-18,96
AL3,0.6166633885579704,2.2411921012803448e-11,96
ST18,0.9439330958841963,4.965455125244522e-47,96
GL7,0.9430643963903315,1.0024474149230302e-46,96
WR8,0.7714461103516949,3.696304803678599e-20,96
NR11,-0.15411797421660925,0.13381304816436027,96
EN3,0.11171024525703625,0.2785464607119492,96
ME20,0.9147982987096586,8.767368341987388e-39,96
OX5,0.9307934660507233,7.263902288837953e-43,96
GU12,0.43771861669647805,8.20634832141808e-06,96
B25,0.8865299716038962,3.168932300888657e-33,96
PE26,0.6922093411147778,5.682543524429792e-15,96
NR10,0.7775837850506215,3.3208791064203224e-10,45
W1F,-0.30711871466058066,0.0024673594432673323,95
TQ14,0.9363533393686568,1.6139072277813913e-44,96
BN8,0.8915567868136612,4.24556011536906e-34,96
WF12,0.6924613476531405,5.504419340400722e-15,96
WF6,0.9602951750093357,6.54905955367715e-54,96
B13,0.9452779514588809,1.6364125744849695e-47,96
PE19,0.7888616457442487,1.3812690075240751e-21,96
PL17,0.8471110133878723,1.4975120029602045e-27,96
CT7,0.8927309364141781,2.6171813045855527e-34,96
PO31,0.6911305880669222,6.510145522034685e-15,96
TS5,0.7067968014919762,8.510975674251831e-16,96
M45,0.9447285605365159,2.583925466143693e-47,96
NE8,0.9666230324104722,2.165422518742805e-57,96
S3,0.9335096827696671,1.1785850563036396e-43,96
DE73,0.9079242784917644,2.860269933709839e-37,96
SG19,0.8600691873545907,3.190841972696452e-29,96
CR5,0.9089028463151322,1.7714225668774535e-37,96
PO13,0.9540856296411854,5.249567315508181e-51,96
GU33,0.8733457735557066,4.05328612868862e-31,96
NE2,0.9210273784240413,2.861661861341853e-40,96
YO32,-0.07331945171319153,0.4777494852295515,96
HR1,0.9477025551178828,2.0567589739410032e-48,96
B80,0.8785416358854673,6.409132043596423e-32,96
SM5,0.6129802510596403,3.1737665735149216e-11,96
CT10,0.9340197236307465,8.304857006389511e-44,96
CW5,0.95479455780024,2.5679725066588615e-51,96
